car_park_no,x_coord,y_coord,kmeans,Sector
BM29,26194.9184,29563.3295,2,South
BM3,25574.8666,30013.7121,2,South
BM30,26154.2109,29519.0586,2,South
BM31,26136.5799,29432.235,2,South
BM33,26367.6248,29465.267,2,South
BM36,26279.3643,29471.6752,2,South
BM4,25288.5551,30009.2384,2,South
BM5,25139.9101,30093.7491,2,South
BM6,25823.7973,30215.5782,2,South
BM9,25889.8506,30167.4343,2,South
BP1,27059.7441,28364.7207,2,South
BP2,27297.2734,28508.1074,2,South
BRBL,29935.2249,32102.3708,2,South
BRB1,29921.7021,32043.75,2,South
BRM,31656.358,33667.0566,3,East
BRM1,30605.3384,34301.5549,3,East
BRM2,30711.6128,34245.0049,3,East
BRM3,30374.6768,33753.3566,3,East
BRM4,30532.4552,33886.3275,3,East
BRM5,30906.005,34415.6669,3,East
BRM6,31102.1822,34445.0449,3,East
BRM7,30457.6666,34068.0647,3,East
BR10,30357.7598,33918.1953,3,East
BR11,30854.1176,34276.8274,3,East
BR12,30715.4375,34382.2305,3,East
BR14,30967.5336,34242.9719,3,East
BR18,30496.3613,34277.707,3,East
BR21,30595.5166,34387.1259,3,East
BR22,30701.4824,34507.3281,3,East
BR4,30459.8203,33979.9766,3,East
BR5,30768.0099,34127.2333,3,East
BR6,30249.9707,33920.4375,3,East
BR8,30363.7715,34154.9883,3,East
BR9,29939.1769,33469.7037,2,South
BTM,27996.7913,29911.548,2,South
BTM2,27590.7177,29931.3587,2,South
BTM3,27485.7966,29859.2793,2,South
BVM2,26893.4354,29547.635,2,South
BWM,25037.7298,29927.4975,2,South
B10,39172.2903,34582.9441,3,East
B10M,39040.5507,34603.0432,3,East
B11,38803.7496,34507.0389,3,East
B12,38523.5625,34424.8004,3,East
B13,38733.3633,34652.0234,3,East
B14,38920.4797,34597.393,3,East
B16,39934.8473,33971.8042,3,East
B17,40079.2617,34051.0508,3,East
B19,39979.5352,33797.4766,3,East
B20,40253.2539,33562.5352,3,East
B21,39989.0226,34488.949,3,East
B23L,39851.2917,34739.452,3,East
B23M,39944.1477,34766.4678,3,East
B24,39682.7466,34983.1176,3,East
B24A,39829.8122,34830.0817,3,East
B25,39927.1063,35018.7287,3,East
B26,39910.4336,35166.7734,3,East
B27,39654.1953,35145.7266,3,East
B28,39379.6445,34971.7852,3,East
B30,39733.8204,34684.0888,3,East
B31,39744.5963,34524.6842,3,East
B32,39511.7026,34404.0851,3,East
B33,39405.1638,34385.3038,3,East
B34,39391.0547,34503.7773,3,East
B35,39335.7148,34586.2422,3,East
B40,39067.9293,34972.3428,3,East
B41,38925.7812,34972.8867,3,East
B42,38851.0273,34961.4805,3,East
B43,38492.9294,34812.5657,3,East
B44,38482.3867,35129.4805,3,East
B44A,38743.3984,35178.6016,3,East
B44B,37970.7092,34944.8181,3,East
B45,38250.9386,34876.1148,3,East
B46,38112.1565,34836.4398,3,East
B47,37896.9112,34789.4034,3,East
B48,38027.5007,34700.9495,3,East
B48B,38287.6513,34686.6961,3,East
B49,38388.8477,34932.0469,3,East
B50,36875.1304,34739.7397,3,East
B50A,36838.2461,34857.5547,3,East
B50B,36751.1433,34871.319,3,East
B51,37245.6836,34927.6641,3,East
B52,37412.3828,35122.5781,3,East
B53,37110.0129,35160.4187,3,East
B54,37112.9655,35062.2564,3,East
B57,37537.5855,35336.4582,3,East
B59,38310.1233,35520.6463,3,East
B6,38797.4548,34284.616,3,East
