car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
CK22,18276.2056,40644.1197,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK24,17983.1711,40586.8844,SURFACE CAR PARK,ELECTRONIC PARKING
CK25,18031.459,40472.3086,SURFACE CAR PARK,ELECTRONIC PARKING
CK26,17943.7793,40730.3711,SURFACE CAR PARK,COUPON PARKING
CK51,18459.6171,42391.2166,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK6,19073.3023,40300.0728,SURFACE CAR PARK,ELECTRONIC PARKING
CK6A,19076.7918,40333.5431,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK65,18064.0069,41548.1433,SURFACE CAR PARK,ELECTRONIC PARKING
CK66,18233.5224,41769.4117,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK70,17408.5254,39880.0108,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CR1,31337.5185,31734.6056,SURFACE CAR PARK,ELECTRONIC PARKING
CR30,30406.377,32213.3125,SURFACE CAR PARK,ELECTRONIC PARKING
CR31,30379.3535,32063.9883,SURFACE CAR PARK,ELECTRONIC PARKING
CR5,31218.4922,31730.7441,SURFACE CAR PARK,COUPON PARKING
CTM1,20293.6227,33003.4096,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CVBK,31083.7452,33199.2328,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CV1,45233.8667,41140.4649,MECHANISED AND SURFACE CAR PARK,ELECTRONIC PARKING
CV2,45212.8158,41314.4339,SURFACE CAR PARK,ELECTRONIC PARKING
CV3,45045.6516,41323.3393,SURFACE CAR PARK,ELECTRONIC PARKING
CV4,45264.5806,41344.1397,SURFACE CAR PARK,ELECTRONIC PARKING
CY,30264.3593,31442.1456,SURFACE CAR PARK,ELECTRONIC PARKING
C11,20522.6462,33009.6141,SURFACE CAR PARK,ELECTRONIC PARKING
C15M,20290.6787,33170.3249,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
C16,20116.5191,32955.7857,SURFACE CAR PARK,ELECTRONIC PARKING
C17,20273.9935,32905.3373,SURFACE CAR PARK,ELECTRONIC PARKING
C18,20215.8784,32729.9597,SURFACE CAR PARK,ELECTRONIC PARKING
C18A,20306.3068,32672.9468,SURFACE CAR PARK,ELECTRONIC PARKING
C19M,20269.322,32850.6337,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
C20,20425.9232,32848.95,SURFACE CAR PARK,ELECTRONIC PARKING
C21L,20624.0039,32590.9865,SURFACE CAR PARK,ELECTRONIC PARKING
C3ML,20852.22,32522.1809,SURFACE CAR PARK,ELECTRONIC PARKING
C40L,20273.1009,31460.4731,SURFACE CAR PARK,ELECTRONIC PARKING
C40M,20275.5121,31340.853,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
DRM4,25668.1428,29257.6985,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
DRM5,25346.6693,29308.7018,BASEMENT CAR PARK,ELECTRONIC PARKING
DRS,25737.908,29213.3689,SURFACE CAR PARK,ELECTRONIC PARKING
DSRL,24864.8825,31078.208,SURFACE CAR PARK,ELECTRONIC PARKING
DSR1,24685.6441,31202.2045,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
DUXM,28860.8985,28827.1925,BASEMENT CAR PARK,ELECTRONIC PARKING
DWST,25626.2862,30840.6986,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
DWSV,25362.2059,30853.9755,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
DWVT,25420.9278,30734.4029,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
ECML,35592.0791,33722.6334,SURFACE CAR PARK,ELECTRONIC PARKING
EC3,35919.0977,33712.4297,SURFACE CAR PARK,ELECTRONIC PARKING
EC4,35720.628,33641.6254,SURFACE CAR PARK,ELECTRONIC PARKING
EC5,35717.5859,33809.3711,SURFACE CAR PARK,COUPON PARKING
EC7,35601.9233,33339.4481,SURFACE CAR PARK,ELECTRONIC PARKING
EC7T,35554.1536,33406.7099,SURFACE CAR PARK,COUPON PARKING
EC8,35778.02,33499.0305,SURFACE CAR PARK,ELECTRONIC PARKING
EPL,28733.8679,28847.7781,SURFACE CAR PARK,ELECTRONIC PARKING
FR2C,25150.3008,33394.0586,COVERED CAR PARK,ELECTRONIC PARKING
FR2S,25091.4622,33354.5073,SURFACE CAR PARK,ELECTRONIC PARKING
FR3M,24983.1434,33218.9585,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
FR4M,25130.4814,33238.9594,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
GEML,34068.7879,33577.593,SURFACE CAR PARK,ELECTRONIC PARKING
GE1B,33973.3743,33717.7668,SURFACE CAR PARK,ELECTRONIC PARKING
GSM,35236.2639,33275.6378,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
GSML,35252.7807,33256.2338,SURFACE CAR PARK,ELECTRONIC PARKING
HDBH,29669.4119,34933.9237,BASEMENT CAR PARK,ELECTRONIC PARKING
HG1E,34832.7635,38300.6631,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG10,34361.8201,37404.5949,SURFACE CAR PARK,ELECTRONIC PARKING
HG15,33942.0874,37892.5664,SURFACE CAR PARK,ELECTRONIC PARKING
HG16,34095.5904,37977.2274,SURFACE CAR PARK,ELECTRONIC PARKING
HG2B,33468.3697,39724.6803,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG2C,35112.2965,39125.1711,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG2D,33994.2969,40153.4168,SURFACE CAR PARK,ELECTRONIC PARKING
HG44,33899.488,39516.6851,SURFACE CAR PARK,ELECTRONIC PARKING
HG47,34748.896,39244.171,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG55,34665.4285,39409.9585,SURFACE CAR PARK,ELECTRONIC PARKING
HG56,34321.5593,39246.2794,SURFACE CAR PARK,ELECTRONIC PARKING
HG57,35081.043,37491.8984,SURFACE CAR PARK,COUPON PARKING
HG58,35056.0,37688.4219,SURFACE CAR PARK,COUPON PARKING
HG59,34677.457,36999.3906,SURFACE CAR PARK,COUPON PARKING
HG60,34440.7881,40108.8916,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG61,34213.8314,40180.7212,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG62,34147.6282,40310.4206,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG64,33895.9179,39593.254,SURFACE CAR PARK,ELECTRONIC PARKING
HG65,34622.7764,36051.0336,SURFACE CAR PARK,COUPON PARKING
HG66,34913.4572,35860.8756,SURFACE CAR PARK,COUPON PARKING
HG70,34141.9377,40105.4776,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG79,33249.7444,39781.9719,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG81,35344.4023,38110.0508,SURFACE CAR PARK,COUPON PARKING
HG82,35706.5,38048.3008,SURFACE CAR PARK,COUPON PARKING
HG83,35650.3728,37831.2487,SURFACE CAR PARK,COUPON PARKING
HG84,35239.0,37964.8945,SURFACE CAR PARK,COUPON PARKING
HG85,35362.1016,38036.1953,SURFACE CAR PARK,COUPON PARKING
HG9,33698.1131,37886.9986,SURFACE CAR PARK,ELECTRONIC PARKING
HG9T,33778.1037,37858.0136,SURFACE CAR PARK,ELECTRONIC PARKING
HG95,34319.1474,37341.5832,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
HG96,34282.3014,37198.2092,SURFACE CAR PARK,ELECTRONIC PARKING
