car_park_no,x_coord,y_coord,car_park_type,car_park_type_encoded,cluster_label
BJ56,19723.7125,40870.4549,MULTI-STOREY CAR PARK,4,2
BJ57,19859.549,40799.6812,SURFACE CAR PARK,5,2
BJ58,21095.0855,41051.008,MULTI-STOREY CAR PARK,4,2
BJ59,21094.1509,41309.8258,MULTI-STOREY CAR PARK,4,2
BJ6,21443.7871,39574.4888,MULTI-STOREY CAR PARK,4,2
BJ60,20899.934,41139.0944,MULTI-STOREY CAR PARK,4,2
BJ61,20707.8422,41214.7175,MULTI-STOREY CAR PARK,4,2
BJ62,21108.8428,40690.9971,SURFACE CAR PARK,5,2
BJ63,20985.8418,40364.4597,MULTI-STOREY CAR PARK,4,2
BJ65,19702.7354,40739.1965,MULTI-STOREY CAR PARK,4,2
BJ66,19584.9139,40909.9744,MULTI-STOREY CAR PARK,4,2
BJ67,19616.1105,41031.7585,MULTI-STOREY CAR PARK,4,2
BJ68,20950.1385,40814.0823,MULTI-STOREY CAR PARK,4,2
BJ69,20182.5515,41087.2501,MULTI-STOREY CAR PARK,4,2
BJ70,20260.173,41274.7776,MULTI-STOREY CAR PARK,4,2
BJ71,20053.9274,40993.2371,MULTI-STOREY CAR PARK,4,2
BJ72,19937.6398,41200.6949,MULTI-STOREY CAR PARK,4,2
BJ8,21353.5943,39632.9105,SURFACE CAR PARK,5,2
BKE1,30034.1445,32237.498,SURFACE CAR PARK,5,4
BKE2,30466.3496,32935.1367,SURFACE CAR PARK,5,4
BKE3,30502.0605,32966.8867,SURFACE CAR PARK,5,4
BKE4,30617.8164,32970.7734,SURFACE CAR PARK,5,4
BKE7,30448.766,32767.6002,MULTI-STOREY CAR PARK,4,4
BKE9,30019.3942,32184.232,SURFACE CAR PARK,5,4
BKRM,31121.6383,33283.2558,MULTI-STOREY CAR PARK,4,4
BLM,31076.0824,33087.5529,MULTI-STOREY CAR PARK,4,4
BL10,14434.5806,36212.2117,SURFACE CAR PARK,5,0
BL13,14836.3467,36315.1094,SURFACE CAR PARK,5,0
BL15,14004.6897,36456.5691,MULTI-STOREY CAR PARK,4,0
BL17,14024.5648,36666.6301,MULTI-STOREY CAR PARK,4,0
BL18,14768.3178,36520.4472,MULTI-STOREY CAR PARK,4,0
BL19,14648.3419,36766.7841,MULTI-STOREY CAR PARK,4,0
BL20,14072.9303,36691.7296,MULTI-STOREY CAR PARK,4,0
BL21,14206.3144,36819.8339,MULTI-STOREY CAR PARK,4,0
BL22,14693.2928,36077.4814,MULTI-STOREY CAR PARK,4,0
BL23,14451.8262,36853.4082,MULTI-STOREY CAR PARK,4,0
BL24,14295.5416,35924.1943,MULTI-STOREY CAR PARK,4,0
BL3,14190.8096,36556.4297,SURFACE CAR PARK,5,0
BL8,14653.3598,36396.1197,SURFACE CAR PARK,5,0
BL8L,14505.671,36484.5266,SURFACE CAR PARK,5,0
BL9,14356.1152,36445.4219,SURFACE CAR PARK,5,0
BMVM,26866.0055,29672.9702,MULTI-STOREY CAR PARK,4,4
BM1,25357.1463,29858.3486,SURFACE CAR PARK,5,4
BM10,25857.7754,30056.6386,SURFACE CAR PARK,5,4
BM12,25769.3044,30009.7592,SURFACE CAR PARK,5,4
BM13,25648.7676,29924.1943,SURFACE CAR PARK,5,4
BM14,25276.6255,30161.1078,SURFACE CAR PARK,5,4
BM19,26373.3689,29793.0744,SURFACE CAR PARK,5,4
BM2,25399.6152,29918.9512,SURFACE CAR PARK,5,4
BM20,26379.7745,29741.6402,SURFACE CAR PARK,5,4
BM26,25118.4593,29967.6925,SURFACE CAR PARK,5,4
BM27,25937.1387,29610.3105,SURFACE CAR PARK,5,4
BM28,26052.9053,29603.6488,SURFACE CAR PARK,5,4
BM29,26194.9184,29563.3295,BASEMENT CAR PARK,0,4
BM3,25574.8666,30013.7121,SURFACE CAR PARK,5,4
BM30,26154.2109,29519.0586,SURFACE CAR PARK,5,4
BM31,26136.5799,29432.235,MULTI-STOREY CAR PARK,4,4
BM33,26367.6248,29465.267,MULTI-STOREY CAR PARK,4,4
BM36,26279.3643,29471.6752,SURFACE CAR PARK,5,4
BM4,25288.5551,30009.2384,MULTI-STOREY CAR PARK,4,4
BM5,25139.9101,30093.7491,SURFACE CAR PARK,5,4
BM6,25823.7973,30215.5782,SURFACE CAR PARK,5,4
BM9,25889.8506,30167.4343,SURFACE CAR PARK,5,4
BP1,27059.7441,28364.7207,SURFACE CAR PARK,5,4
BP2,27297.2734,28508.1074,SURFACE CAR PARK,5,4
BRBL,29935.2249,32102.3708,SURFACE CAR PARK,5,4
BRB1,29921.7021,32043.75,BASEMENT CAR PARK,0,4
BRM,31656.358,33667.0566,MULTI-STOREY CAR PARK,4,4
BRM1,30605.3384,34301.5549,MULTI-STOREY CAR PARK,4,4
BRM2,30711.6128,34245.0049,MULTI-STOREY CAR PARK,4,4
BRM3,30374.6768,33753.3566,MULTI-STOREY CAR PARK,4,4
BRM4,30532.4552,33886.3275,MULTI-STOREY CAR PARK,4,4
BRM5,30906.005,34415.6669,MULTI-STOREY CAR PARK,4,4
BRM6,31102.1822,34445.0449,MULTI-STOREY CAR PARK,4,4
BRM7,30457.6666,34068.0647,MULTI-STOREY CAR PARK,4,4
BR10,30357.7598,33918.1953,SURFACE CAR PARK,5,4
BR11,30854.1176,34276.8274,SURFACE CAR PARK,5,4
