car_park_no,x_coord,y_coord,car_park_type,type_of_parking_system
BE39,28962.9515,37918.5499,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BE45,29152.4171,37599.2039,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BE7,30192.8737,36349.311,SURFACE CAR PARK,ELECTRONIC PARKING
BJ10,21026.3461,40101.7077,SURFACE CAR PARK,ELECTRONIC PARKING
BJ11,21162.6537,40303.4372,SURFACE CAR PARK,ELECTRONIC PARKING
BJ12,21452.9618,40246.9897,SURFACE CAR PARK,ELECTRONIC PARKING
BJ15,21374.3071,39941.9395,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BJ20,20929.1589,40888.8561,SURFACE CAR PARK,ELECTRONIC PARKING
BJ22,21343.2842,40030.3147,SURFACE CAR PARK,ELECTRONIC PARKING
BJ23,21281.85,39957.43,SURFACE CAR PARK,ELECTRONIC PARKING
BJ31,20672.7922,41096.8488,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
BKE4,30617.8164,32970.7734,SURFACE CAR PARK,ELECTRONIC PARKING
BL8L,14505.671,36484.5266,SURFACE CAR PARK,ELECTRONIC PARKING
BM14,25276.6255,30161.1078,SURFACE CAR PARK,ELECTRONIC PARKING
BM27,25937.1387,29610.3105,SURFACE CAR PARK,COUPON PARKING
BM28,26052.9053,29603.6488,SURFACE CAR PARK,ELECTRONIC PARKING
BM30,26154.2109,29519.0586,SURFACE CAR PARK,ELECTRONIC PARKING
BM36,26279.3643,29471.6752,SURFACE CAR PARK,COUPON PARKING
BM5,25139.9101,30093.7491,SURFACE CAR PARK,ELECTRONIC PARKING
BP2,27297.2734,28508.1074,SURFACE CAR PARK,ELECTRONIC PARKING
BRBL,29935.2249,32102.3708,SURFACE CAR PARK,ELECTRONIC PARKING
BR21,30595.5166,34387.1259,SURFACE CAR PARK,COUPON PARKING
BR22,30701.4824,34507.3281,SURFACE CAR PARK,COUPON PARKING
B23L,39851.2917,34739.452,SURFACE CAR PARK,ELECTRONIC PARKING
B25,39927.1063,35018.7287,SURFACE CAR PARK,ELECTRONIC PARKING
B41,38925.7812,34972.8867,SURFACE CAR PARK,ELECTRONIC PARKING
B46,38112.1565,34836.4398,SURFACE CAR PARK,ELECTRONIC PARKING
B65L,40720.5785,33389.4366,SURFACE CAR PARK,ELECTRONIC PARKING
B7B,39298.3108,34305.7565,SURFACE CAR PARK,ELECTRONIC PARKING
CC1,37970.7792,34316.7372,SURFACE CAR PARK,COUPON PARKING
CKK1,18073.929,40606.0548,SURFACE CAR PARK,COUPON PARKING
CK12,17816.8828,40361.3125,SURFACE CAR PARK,ELECTRONIC PARKING
CK15,17716.2981,40045.082,SURFACE CAR PARK,ELECTRONIC PARKING
CK17,17691.7227,40448.332,SURFACE CAR PARK,ELECTRONIC PARKING
CK19,18875.7734,40272.4492,SURFACE CAR PARK,ELECTRONIC PARKING
CK24,17983.1711,40586.8844,SURFACE CAR PARK,ELECTRONIC PARKING
CK25,18031.459,40472.3086,SURFACE CAR PARK,ELECTRONIC PARKING
CK4,18912.6962,40234.9502,SURFACE CAR PARK,ELECTRONIC PARKING
CK5,19030.3926,40238.918,SURFACE CAR PARK,COUPON PARKING
CK55,18561.8248,42111.2701,COVERED CAR PARK,ELECTRONIC PARKING
CK6,19073.3023,40300.0728,SURFACE CAR PARK,ELECTRONIC PARKING
CK65,18064.0069,41548.1433,SURFACE CAR PARK,ELECTRONIC PARKING
CK66,18233.5224,41769.4117,MULTI-STOREY CAR PARK,ELECTRONIC PARKING
CK9,18162.1088,40384.5044,SURFACE CAR PARK,ELECTRONIC PARKING
CR1,31337.5185,31734.6056,SURFACE CAR PARK,ELECTRONIC PARKING
CR1A,31521.2359,31781.8809,SURFACE CAR PARK,ELECTRONIC PARKING
CR1B,31565.7734,31819.2245,SURFACE CAR PARK,ELECTRONIC PARKING
CR2,31599.1055,31890.8184,SURFACE CAR PARK,ELECTRONIC PARKING
CR3,31450.707,31933.4004,SURFACE CAR PARK,ELECTRONIC PARKING
CR30,30406.377,32213.3125,SURFACE CAR PARK,ELECTRONIC PARKING
CR31,30379.3535,32063.9883,SURFACE CAR PARK,ELECTRONIC PARKING
